coverage-data.xlsx
GROUP	CODE	NAME	YEAR	ANTIGEN	ANTIGEN_DESCRIPTION	COVERAGE_CATEGORY	COVERAGE_CATEGORY_DESCRIPTION	TARGET_NUMBER	DOSES	COVERAGE
COUNTRIES	ABW	Aruba	2023	HEPB_BDALL	HepB, birth dose total (including those given within and after 24 hours of birth)	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2023	HEPB3	HepB, 3rd dose	ADMIN	Administrative coverage	945	896	94.81
COUNTRIES	ABW	Aruba	2023	HEPB3	HepB, 3rd dose	OFFICIAL	Official coverage			94.81
COUNTRIES	ABW	Aruba	2023	HIB3	Hib, 3rd dose	ADMIN	Administrative coverage	945	907	95.98
COUNTRIES	ABW	Aruba	2023	HIB3	Hib, 3rd dose	OFFICIAL	Official coverage			95.98
COUNTRIES	ABW	Aruba	2023	HPV_FEM	HPV Female, final dose	ADMIN	Administrative coverage	693	442	63.78
COUNTRIES	ABW	Aruba	2023	HPV_FEM	HPV Female, final dose	OFFICIAL	Official coverage			63.78
COUNTRIES	ABW	Aruba	2023	HPV_MALE	HPV Male, final dose	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	HPV_MALE	HPV Male, final dose	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2023	IPV1	Inactivated polio-containing vaccine, 1st dose	ADMIN	Administrative coverage	945	926	97.99
COUNTRIES	ABW	Aruba	2023	IPV1	Inactivated polio-containing vaccine, 1st dose	OFFICIAL	Official coverage			97.99
COUNTRIES	ABW	Aruba	2023	IPV1_FRAC	Fractional inactivated polio-containing vaccine, 1st dose	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	IPV1_FRAC	Fractional inactivated polio-containing vaccine, 1st dose	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2023	IPV2	Inactivated polio-containing vaccine, 2nd dose	ADMIN	Administrative coverage	945	918	97.14
COUNTRIES	ABW	Aruba	2023	IPV2	Inactivated polio-containing vaccine, 2nd dose	OFFICIAL	Official coverage			97.14
COUNTRIES	ABW	Aruba	2023	IPV2_FRAC	Fractional inactivated polio-containing vaccine, 2nd dose	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	IPV2_FRAC	Fractional inactivated polio-containing vaccine, 2nd dose	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2023	MCV1	Measles-containing vaccine, 1st dose	ADMIN	Administrative coverage	1044	973	93.2
COUNTRIES	ABW	Aruba	2023	MCV1	Measles-containing vaccine, 1st dose	OFFICIAL	Official coverage			93.2
COUNTRIES	ABW	Aruba	2023	MCV2	Measles-containing vaccine, 2nd dose	ADMIN	Administrative coverage	1219	989	81.13
COUNTRIES	ABW	Aruba	2023	MCV2	Measles-containing vaccine, 2nd dose	OFFICIAL	Official coverage			81.13
COUNTRIES	ABW	Aruba	2023	MENACYW_C	Meningococcal ACYW conjugate vaccine, last dose	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	MENACYW_C	Meningococcal ACYW conjugate vaccine, last dose	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2023	MENB_C	Meningococcal B vaccine, last dose	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	MENB_C	Meningococcal B vaccine, last dose	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2023	PAB	Protection at birth (PAB) against neonatal tetanus	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	PCV1	Pneumococcal conjugate vaccine, 1st dose	ADMIN	Administrative coverage	945	927	98.1
COUNTRIES	ABW	Aruba	2023	PCV1	Pneumococcal conjugate vaccine, 1st dose	OFFICIAL	Official coverage			98.1
COUNTRIES	ABW	Aruba	2023	PCV2	Pneumococcal conjugate vaccine, 2nd dose	ADMIN	Administrative coverage	945	916	96.93
COUNTRIES	ABW	Aruba	2023	PCV2	Pneumococcal conjugate vaccine, 2nd dose	OFFICIAL	Official coverage			96.93
COUNTRIES	ABW	Aruba	2023	PCV3	Pneumococcal conjugate vaccine, final dose	ADMIN	Administrative coverage	1044	953	91.28
COUNTRIES	ABW	Aruba	2023	PCV3	Pneumococcal conjugate vaccine, final dose	OFFICIAL	Official coverage			91.28
COUNTRIES	ABW	Aruba	2023	PERCV_PW	Pertussis-containing vaccine, pregnant women	ADMIN	Administrative coverage	945	8	0.85
COUNTRIES	ABW	Aruba	2023	PERCV_PW	Pertussis-containing vaccine, pregnant women	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2023	PERCV4	Pertussis-containing vaccine, 4th dose (1st booster)	ADMIN	Administrative coverage	1044	945	90.52
COUNTRIES	ABW	Aruba	2023	PERCV4	Pertussis-containing vaccine, 4th dose (1st booster)	OFFICIAL	Official coverage			90.52
COUNTRIES	ABW	Aruba	2023	POL3	Polio, 3rd dose	ADMIN	Administrative coverage	945	907	95.98
COUNTRIES	ABW	Aruba	2023	POL3	Polio, 3rd dose	OFFICIAL	Official coverage			95.98
COUNTRIES	ABW	Aruba	2023	RCV1	Rubella-containing vaccine, 1st dose	ADMIN	Administrative coverage	1044	973	93.2
COUNTRIES	ABW	Aruba	2023	RCV1	Rubella-containing vaccine, 1st dose	OFFICIAL	Official coverage			93.2
COUNTRIES	ABW	Aruba	2023	ROTA1	Rotavirus, 1st dose	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	ROTA1	Rotavirus, 1st dose	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2023	ROTAC	Rotavirus, last dose	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	ROTAC	Rotavirus, last dose	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2023	TT2PLUS	Tetanus toxoid-containing vaccine, 2nd and subsequent doses	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	TT2PLUS	Tetanus toxoid-containing vaccine, 2nd and subsequent doses	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2023	TTCV4	Tetanus-containing vaccine, 4th dose (1st booster)	ADMIN	Administrative coverage	1044	945	90.52
COUNTRIES	ABW	Aruba	2023	TTCV4	Tetanus-containing vaccine, 4th dose (1st booster)	OFFICIAL	Official coverage			90.52
COUNTRIES	ABW	Aruba	2023	TTCV5	Tetanus-containing vaccine, 5th dose (2nd booster)	ADMIN	Administrative coverage	1219	1008	82.69
COUNTRIES	ABW	Aruba	2023	TTCV5	Tetanus-containing vaccine, 5th dose (2nd booster)	OFFICIAL	Official coverage			82.69
COUNTRIES	ABW	Aruba	2023	TTCV6	Tetanus-containing vaccine, 6th dose (3rd booster)	ADMIN	Administrative coverage	1468	1219	83.04
COUNTRIES	ABW	Aruba	2023	TTCV6	Tetanus-containing vaccine, 6th dose (3rd booster)	OFFICIAL	Official coverage			83.04
COUNTRIES	ABW	Aruba	2023	TYPHOID_CONJ	Typhoid conjugate vaccine	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	TYPHOID_CONJ	Typhoid conjugate vaccine	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2023	VAD1	Vitamin A, 1st dose	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	VAD1	Vitamin A, 1st dose	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2023	YFV	Yellow fever vaccine	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2023	YFV	Yellow fever vaccine	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2022	BCG	BCG	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	BCG	BCG	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2022	DIPHCV4	Diphtheria-containing vaccine, 4th dose (1st booster)	ADMIN	Administrative coverage	1022	892	87.28
COUNTRIES	ABW	Aruba	2022	DIPHCV4	Diphtheria-containing vaccine, 4th dose (1st booster)	OFFICIAL	Official coverage			87.28
COUNTRIES	ABW	Aruba	2022	DIPHCV5	Diphtheria-containing vaccine, 5th dose (2nd booster)	ADMIN	Administrative coverage	1296	1092	84.26
COUNTRIES	ABW	Aruba	2022	DIPHCV5	Diphtheria-containing vaccine, 5th dose (2nd booster)	OFFICIAL	Official coverage			84.26
COUNTRIES	ABW	Aruba	2022	DIPHCV6	Diphtheria-containing vaccine, 6th dose (3rd booster)	ADMIN	Administrative coverage	1434	1151	80.26
COUNTRIES	ABW	Aruba	2022	DIPHCV6	Diphtheria-containing vaccine, 6th dose (3rd booster)	OFFICIAL	Official coverage			80.26
COUNTRIES	ABW	Aruba	2022	DTPCV1	DTP-containing vaccine, 1st dose	ADMIN	Administrative coverage	1028	999	97.18
COUNTRIES	ABW	Aruba	2022	DTPCV1	DTP-containing vaccine, 1st dose	OFFICIAL	Official coverage			97.18
COUNTRIES	ABW	Aruba	2022	DTPCV3	DTP-containing vaccine, 3rd dose	ADMIN	Administrative coverage	1028	967	94.07
COUNTRIES	ABW	Aruba	2022	DTPCV3	DTP-containing vaccine, 3rd dose	OFFICIAL	Official coverage			94.07
COUNTRIES	ABW	Aruba	2022	FLU_ALL	Influenza all persons above >6 months (universal recommendation)	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	FLU_CHILD1	Influenza child age group 1	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	FLU_CHILD2	Influenza child age group 2	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	FLU_CHRONIC_ADULT	Influenza chronic adult	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	FLU_CHRONIC_ALL	Influenza chronic children and adults	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	FLU_CHRONIC_PED	Influenza chronic pediatric	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	FLU_ELDERLY	Influenza older persons	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	FLU_HAJ	Influenza travellers (incl. Hajj pilgrimage)	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	FLU_HCW	Influenza health care workers	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	FLU_OTHER	Influenza other	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	FLU_PW	Influenza pregnant women	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	FLU_RESIDENT	Influenza residents living in long term care facilities	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	HEPB_BD	HepB, birth dose (given within 24 hours of birth)	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	HEPB_BD	HepB, birth dose (given within 24 hours of birth)	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2022	HEPB_BDALL	HepB, birth dose total (including those given within and after 24 hours of birth)	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	HEPB_BDALL	HepB, birth dose total (including those given within and after 24 hours of birth)	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2022	HEPB3	HepB, 3rd dose	ADMIN	Administrative coverage	1028	953	92.7
COUNTRIES	ABW	Aruba	2022	HEPB3	HepB, 3rd dose	OFFICIAL	Official coverage			92.7
COUNTRIES	ABW	Aruba	2022	HIB3	Hib, 3rd dose	ADMIN	Administrative coverage	1028	967	94.07
COUNTRIES	ABW	Aruba	2022	HIB3	Hib, 3rd dose	OFFICIAL	Official coverage			94.07
COUNTRIES	ABW	Aruba	2022	HPV_FEM	HPV Female, final dose	ADMIN	Administrative coverage	688	411	59.74
COUNTRIES	ABW	Aruba	2022	HPV_FEM	HPV Female, final dose	OFFICIAL	Official coverage			59.74
COUNTRIES	ABW	Aruba	2022	HPV_MALE	HPV Male, final dose	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	HPV_MALE	HPV Male, final dose	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2022	IPV1	Inactivated polio-containing vaccine, 1st dose	ADMIN	Administrative coverage	1028	999	97.18
COUNTRIES	ABW	Aruba	2022	IPV1	Inactivated polio-containing vaccine, 1st dose	OFFICIAL	Official coverage			97.18
COUNTRIES	ABW	Aruba	2022	IPV1_FRAC	Fractional inactivated polio-containing vaccine, 1st dose	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	IPV1_FRAC	Fractional inactivated polio-containing vaccine, 1st dose	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2022	IPV2	Inactivated polio-containing vaccine, 2nd dose	ADMIN	Administrative coverage	1028	999	97.18
COUNTRIES	ABW	Aruba	2022	IPV2	Inactivated polio-containing vaccine, 2nd dose	OFFICIAL	Official coverage			97.18
COUNTRIES	ABW	Aruba	2022	IPV2_FRAC	Fractional inactivated polio-containing vaccine, 2nd dose	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	IPV2_FRAC	Fractional inactivated polio-containing vaccine, 2nd dose	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2022	MCV1	Measles-containing vaccine, 1st dose	ADMIN	Administrative coverage	1022	936	91.59
COUNTRIES	ABW	Aruba	2022	MCV1	Measles-containing vaccine, 1st dose	OFFICIAL	Official coverage			91.59
COUNTRIES	ABW	Aruba	2022	MCV2	Measles-containing vaccine, 2nd dose	ADMIN	Administrative coverage	1296	1076	83.02
COUNTRIES	ABW	Aruba	2022	MCV2	Measles-containing vaccine, 2nd dose	OFFICIAL	Official coverage			83.02
COUNTRIES	ABW	Aruba	2022	MEN_ACYW_CONJ	Meningococcal ACYW conjugate vaccine	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	MEN_ACYW_CONJ	Meningococcal ACYW conjugate vaccine	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2022	MEN_B	Meningococcal B vaccine	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	MEN_B	Meningococcal B vaccine	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2022	PAB	Protection at birth (PAB) against neonatal tetanus	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	PCV1	Pneumococcal conjugate vaccine, 1st dose	ADMIN	Administrative coverage	1028	991	96.4
COUNTRIES	ABW	Aruba	2022	PCV1	Pneumococcal conjugate vaccine, 1st dose	OFFICIAL	Official coverage			96.4
COUNTRIES	ABW	Aruba	2022	PCV2	Pneumococcal conjugate vaccine, 2nd dose	ADMIN	Administrative coverage	1028	982	95.53
COUNTRIES	ABW	Aruba	2022	PCV2	Pneumococcal conjugate vaccine, 2nd dose	OFFICIAL	Official coverage			95.53
COUNTRIES	ABW	Aruba	2022	PCV3	Pneumococcal conjugate vaccine, final dose	ADMIN	Administrative coverage	1022	905	88.55
COUNTRIES	ABW	Aruba	2022	PCV3	Pneumococcal conjugate vaccine, final dose	OFFICIAL	Official coverage			88.55
COUNTRIES	ABW	Aruba	2022	PERCV_PW	Pertussis-containing vaccine, pregnant women	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	PERCV_PW	Pertussis-containing vaccine, pregnant women	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2022	PERCV4	Pertussis-containing vaccine, 4th dose (1st booster)	ADMIN	Administrative coverage	1022	892	87.28
COUNTRIES	ABW	Aruba	2022	PERCV4	Pertussis-containing vaccine, 4th dose (1st booster)	OFFICIAL	Official coverage			87.28
COUNTRIES	ABW	Aruba	2022	POL3	Polio, 3rd dose	ADMIN	Administrative coverage	1028	967	94.07
COUNTRIES	ABW	Aruba	2022	POL3	Polio, 3rd dose	OFFICIAL	Official coverage			94.07
COUNTRIES	ABW	Aruba	2022	RCV1	Rubella-containing vaccine, 1st dose	ADMIN	Administrative coverage	1022	936	91.59
COUNTRIES	ABW	Aruba	2022	RCV1	Rubella-containing vaccine, 1st dose	OFFICIAL	Official coverage			91.59
COUNTRIES	ABW	Aruba	2022	ROTA1	Rotavirus, 1st dose	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	ROTA1	Rotavirus, 1st dose	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2022	ROTAC	Rotavirus, last dose	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	ROTAC	Rotavirus, last dose	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2022	TT2PLUS	Tetanus toxoid-containing vaccine, 2nd and subsequent doses	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	TT2PLUS	Tetanus toxoid-containing vaccine, 2nd and subsequent doses	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2022	TTCV4	Tetanus-containing vaccine, 4th dose (1st booster)	ADMIN	Administrative coverage	1022	892	87.28
COUNTRIES	ABW	Aruba	2022	TTCV4	Tetanus-containing vaccine, 4th dose (1st booster)	OFFICIAL	Official coverage			87.28
COUNTRIES	ABW	Aruba	2022	TTCV5	Tetanus-containing vaccine, 5th dose (2nd booster)	ADMIN	Administrative coverage	1296	1092	84.26
COUNTRIES	ABW	Aruba	2022	TTCV5	Tetanus-containing vaccine, 5th dose (2nd booster)	OFFICIAL	Official coverage			84.26
COUNTRIES	ABW	Aruba	2022	TTCV6	Tetanus-containing vaccine, 6th dose (3rd booster)	ADMIN	Administrative coverage	1434	1151	80.26
COUNTRIES	ABW	Aruba	2022	TTCV6	Tetanus-containing vaccine, 6th dose (3rd booster)	OFFICIAL	Official coverage			80.26
COUNTRIES	ABW	Aruba	2022	TYPHOID_CONJ	Typhoid conjugate vaccine	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	TYPHOID_CONJ	Typhoid conjugate vaccine	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2022	VAD1	Vitamin A, 1st dose	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	VAD1	Vitamin A, 1st dose	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2022	YFV	Yellow fever vaccine	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2022	YFV	Yellow fever vaccine	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2021	BCG	BCG	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	BCG	BCG	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2021	DIPHCV4	Diphtheria-containing vaccine, 4th dose (1st booster)	ADMIN	Administrative coverage	1188	1008	84.85
COUNTRIES	ABW	Aruba	2021	DIPHCV4	Diphtheria-containing vaccine, 4th dose (1st booster)	OFFICIAL	Official coverage			84.85
COUNTRIES	ABW	Aruba	2021	DIPHCV5	Diphtheria-containing vaccine, 5th dose (2nd booster)	ADMIN	Administrative coverage	1325	1030	77.74
COUNTRIES	ABW	Aruba	2021	DIPHCV5	Diphtheria-containing vaccine, 5th dose (2nd booster)	OFFICIAL	Official coverage			77.74
COUNTRIES	ABW	Aruba	2021	DIPHCV6	Diphtheria-containing vaccine, 6th dose (3rd booster)	ADMIN	Administrative coverage	1417	1232	86.94
COUNTRIES	ABW	Aruba	2021	DIPHCV6	Diphtheria-containing vaccine, 6th dose (3rd booster)	OFFICIAL	Official coverage			86.94
COUNTRIES	ABW	Aruba	2021	DTPCV1	DTP-containing vaccine, 1st dose	ADMIN	Administrative coverage	1046	1020	97.51
COUNTRIES	ABW	Aruba	2021	DTPCV1	DTP-containing vaccine, 1st dose	OFFICIAL	Official coverage			97.51
COUNTRIES	ABW	Aruba	2021	DTPCV3	DTP-containing vaccine, 3rd dose	ADMIN	Administrative coverage	1046	973	93.02
COUNTRIES	ABW	Aruba	2021	DTPCV3	DTP-containing vaccine, 3rd dose	OFFICIAL	Official coverage			93.02
COUNTRIES	ABW	Aruba	2021	FLU_ALL	Influenza all persons above >6 months (universal recommendation)	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	FLU_CHILD1	Influenza child age group 1	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	FLU_CHILD2	Influenza child age group 2	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	FLU_CHRONIC_ADULT	Influenza chronic adult	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	FLU_CHRONIC_ALL	Influenza chronic children and adults	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	FLU_CHRONIC_PED	Influenza chronic pediatric	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	FLU_ELDERLY	Influenza older persons	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	FLU_HAJ	Influenza travellers (incl. Hajj pilgrimage)	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	FLU_HCW	Influenza health care workers	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	FLU_OTHER	Influenza other	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	FLU_PW	Influenza pregnant women	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	FLU_RESIDENT	Influenza residents living in long term care facilities	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	HEPB_BD	HepB, birth dose (given within 24 hours of birth)	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	HEPB_BD	HepB, birth dose (given within 24 hours of birth)	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2021	HEPB_BDALL	HepB, birth dose total (including those given within and after 24 hours of birth)	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	HEPB_BDALL	HepB, birth dose total (including those given within and after 24 hours of birth)	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2021	HEPB3	HepB, 3rd dose	ADMIN	Administrative coverage	1046	961	91.87
COUNTRIES	ABW	Aruba	2021	HEPB3	HepB, 3rd dose	OFFICIAL	Official coverage			91.87
COUNTRIES	ABW	Aruba	2021	HIB3	Hib, 3rd dose	ADMIN	Administrative coverage	1046	973	93.02
COUNTRIES	ABW	Aruba	2021	HIB3	Hib, 3rd dose	OFFICIAL	Official coverage			93.02
COUNTRIES	ABW	Aruba	2021	HPV_FEM	HPV Female, final dose	ADMIN	Administrative coverage	761	474	62.29
COUNTRIES	ABW	Aruba	2021	HPV_FEM	HPV Female, final dose	OFFICIAL	Official coverage			62.29
COUNTRIES	ABW	Aruba	2021	HPV_MALE	HPV Male, final dose	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	HPV_MALE	HPV Male, final dose	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2021	IPV1	Inactivated polio-containing vaccine, 1st dose	ADMIN	Administrative coverage	1046	1020	97.51
COUNTRIES	ABW	Aruba	2021	IPV1	Inactivated polio-containing vaccine, 1st dose	OFFICIAL	Official coverage			97.51
COUNTRIES	ABW	Aruba	2021	IPV1_FRAC	Fractional inactivated polio-containing vaccine, 1st dose	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	IPV1_FRAC	Fractional inactivated polio-containing vaccine, 1st dose	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2021	IPV2	Inactivated polio-containing vaccine, 2nd dose	ADMIN	Administrative coverage	1046	1009	96.46
COUNTRIES	ABW	Aruba	2021	IPV2	Inactivated polio-containing vaccine, 2nd dose	OFFICIAL	Official coverage			96.46
COUNTRIES	ABW	Aruba	2021	IPV2_FRAC	Fractional inactivated polio-containing vaccine, 2nd dose	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	IPV2_FRAC	Fractional inactivated polio-containing vaccine, 2nd dose	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2021	MCV1	Measles-containing vaccine, 1st dose	ADMIN	Administrative coverage	1188	1115	93.86
COUNTRIES	ABW	Aruba	2021	MCV1	Measles-containing vaccine, 1st dose	OFFICIAL	Official coverage			93.86
COUNTRIES	ABW	Aruba	2021	MCV2	Measles-containing vaccine, 2nd dose	ADMIN	Administrative coverage	1325	1013	76.45
COUNTRIES	ABW	Aruba	2021	MCV2	Measles-containing vaccine, 2nd dose	OFFICIAL	Official coverage			76.45
COUNTRIES	ABW	Aruba	2021	MEN_A_CONJ	Meningococcal A conjugate vaccine	ADMIN	Administrative coverage			
COUNTRIES	ABW	Aruba	2021	MEN_A_CONJ	Meningococcal A conjugate vaccine	OFFICIAL	Official coverage			
COUNTRIES	ABW	Aruba	2021	PAB	Protection at birth (PAB) against neonatal tetanus	ADMIN	Administrative coverage			
